"t","rx","ry","rz","theta","phi"
"81/20",0.8113743491966442,0.5839177246029129,0.026705255175794584,1.5440878963659228,0.6238023938656336
"61/15",0.7459561468466183,0.6650934951130356,0.03466200921157181,1.5361273730213578,0.7281540353245112
"49/12",0.6724429933069528,0.7388685773990691,0.04353086847538379,1.5272516985443594,0.8324300169962953
"41/10",0.5916615765429776,0.8044262127669788,0.05325529867447509,1.517515822808398,0.936635068879765
"247/60",0.5045201959589424,0.8610421449050101,0.06377335244389681,1.5069796669098419,1.0407782100690728
"62/15",0.41199825226946557,0.9080920061744744,0.0750179713988911,1.4957078135482749,1.1448725644478028
"83/20",0.315135637728258,0.9450587070296265,0.08691746652829202,1.4837690480907086,1.2489352417014894
"25/6",0.21502107203165283,0.9715387118396662,0.09939603929340995,1.4712358905053269,1.3529871877179953
"251/60",0.11277952394640756,0.9872457503206359,0.11237415557013258,1.4581843078341437,1.4570528749085414
"21/5",0.009559781340641671,0.9920140609805312,0.12576905196753563,1.4446933261724986,1.5611598853325015
"253/60",-0.09347836688828143,0.9858007622145999,0.13949533492840638,1.4308445784426054,1.6653384437662133
"127/30",-0.1951775099227872,0.968687117784776,0.1534656752916565,1.4167217795766915,1.7696209360253057
"17/4",-0.2943950767684112,0.9408746788915376,0.16759086282342905,1.4024108671988458,1.8740411034531035
"64/15",-0.3900169323298487,0.9026866140472749,0.1817810072978716,1.387998994311672,1.9786336386911254
"257/60",-0.48096894929727374,0.8545610803041459,0.19594554761807165,1.3735747297383536,2.0834331785445213
"43/10",-0.5662301263670185,0.7970485857923519,0.20999430464152474,1.359227192286713,2.188473787270527
"259/60",-0.6448430432461021,0.730804121903565,0.2238376662707139,1.3450460483540003,2.293787895202439
"13/3",-0.7159255053769801,0.6565808513573268,0.23738744812180318,1.3311207924356914,2.3994057385630447
"87/20",-0.7786798340354839,0.5752211382576693,0.25055727556913043,1.317540477116288,2.5053542619773372
"131/30",-0.8324021027383345,0.4876471054442375,0.26326319629670253,1.30439315930152,2.6116565534318945
"263/60",-0.8764902234621017,0.394850625948134,0.2754242780602782,1.2917653041035284,2.7183308007083595
"22/5",-0.9104500347387433,0.2978815381335074,0.28696292965964937,1.2797414138673628,2.825389792442051
"53/12",-0.9339021050753692,0.1978366497784581,0.2978057298488652,1.2684030635597756,2.9328400310456666
"133/30",-0.9465841591221754,0.09584656374572299,0.3078834150094842,1.2578287468874203,3.040681388703503
"89/20",-0.9483563757534687,-0.006936241633880742,0.3171319231210664,1.2480925555461908,-3.1342788229110665
"67/15",-0.9391998213329934,-0.10935089736782791,0.32549198954720615,1.2392643213828862,-3.0256846664828574
"269/60",-0.9192225578904891,-0.21024132271370555,0.33291108865431346,1.2314072400178167,-2.916743665934248
"9/2",-0.8886474812224089,-0.3084677768528057,0.3393407880841598,1.2245803125429806,-2.8074853710160026
"271/60",-0.8478250686424351,-0.40292284177101795,0.3447413098852955,1.2188331396905148,-2.697946153674951
"68/15",-0.7972137656930813,-0.49253925822037603,0.3490772672722526,1.2142100786957057,-2.588168932218325
"91/20",-0.73738710181051,-0.5763066665642373,0.3523215620789677,1.210745755777709,-2.4782018971066138
"137/30",-0.6690207223929758,-0.653279979126391,0.3544535442866218,1.2084667228965693,-2.368097985206312
"55/12",-0.5928848862937522,-0.7225892624183614,0.35545903228827863,1.2073911998840292,-2.257913202731755
"23/5",-0.5098412782412349,-0.7834550875297234,0.35533264257837444,1.2075264171314577,-2.1477056732914734
"277/60",-0.4208244872751455,-0.8351870232130787,0.3540739249357618,1.208872669706822,-2.037533996670267
"139/30",-0.32684113148707866,-0.8772046780551239,0.35169208985948885,1.211418270695188,-1.9274558920793448
"93/20",-0.228950556529946,-0.9090309181891872,0.34820148592756134,1.2151444877629198,-1.8175269099629683
"14/3",-0.12825788064066485,-0.9303071373652144,0.343624686014758,1.2200224259709425,-1.7077988456855575
"281/60",-0.02589968918081259,-0.9407933669263582,0.33799110730087645,1.2260147597375468,-1.5983190008592776
"47/10",0.07696878330588819,-0.9403675449404625,0.33133588708278666,1.2330772377350925,-1.4891286953097091
"283/60",0.1791861638804204,-0.9290372353470762,0.32370253743807825,1.2411562155265785,-1.3802629852700419
